city,date,death_new,death_accum
KEE,2022-03-10,0,29
KEE,2022-03-11,0,29
KEE,2022-03-12,0,29
KEE,2022-03-13,0,29
KEE,2022-03-14,0,29
KEE,2022-03-15,0,29
KEE,2022-03-16,0,29
KEE,2022-03-17,0,29
KEE,2022-03-18,0,29
KEE,2022-03-19,0,29
KEE,2022-03-20,0,29
KEE,2022-03-21,0,29
KEE,2022-03-22,0,29
KEE,2022-03-23,0,29
KEE,2022-03-24,0,29
KEE,2022-03-25,0,29
KEE,2022-03-26,0,29
KEE,2022-03-27,0,29
KEE,2022-03-28,0,29
KEE,2022-03-29,0,29
KEE,2022-03-30,0,29
KEE,2022-03-31,0,29
KEE,2022-04-01,0,29
KEE,2022-04-02,0,29
KEE,2022-04-03,0,29
KEE,2022-04-04,0,29
KEE,2022-04-05,0,29
KEE,2022-04-06,0,29
KEE,2022-04-07,0,29
KEE,2022-04-08,0,29
KEE,2022-04-09,1,30
KEE,2022-04-10,0,30
KEE,2022-04-11,0,30
KEE,2022-04-12,0,30
KEE,2022-04-13,0,30
KEE,2022-04-14,0,30
KEE,2022-04-15,0,30
KEE,2022-04-16,0,30
KEE,2022-04-17,0,30
KEE,2022-04-18,0,30
KEE,2022-04-19,0,30
KEE,2022-04-20,0,30
KEE,2022-04-21,0,30
KEE,2022-04-22,0,30
KEE,2022-04-23,0,30
KEE,2022-04-24,0,30
KEE,2022-04-25,0,30
KEE,2022-04-26,0,30
KEE,2022-04-27,0,30
KEE,2022-04-28,1,31
KEE,2022-04-29,0,31
KEE,2022-04-30,2,33
KEE,2022-05-01,1,34
KEE,2022-05-02,0,34
KEE,2022-05-03,0,34
KEE,2022-05-04,0,34
KEE,2022-05-05,0,34
KEE,2022-05-06,1,35
KEE,2022-05-07,1,36
KEE,2022-05-08,2,38
KEE,2022-05-09,2,40
KEE,2022-05-10,1,41
KEE,2022-05-11,0,41
KEE,2022-05-12,0,41
KEE,2022-05-13,3,44
KEE,2022-05-14,2,46
KEE,2022-05-15,5,51
KEE,2022-05-16,3,54
KEE,2022-05-17,3,57
KEE,2022-05-18,2,59
KEE,2022-05-19,5,64
KEE,2022-05-20,1,65
KEE,2022-05-21,3,68
KEE,2022-05-22,4,72
KEE,2022-05-23,1,73
KEE,2022-05-24,2,75
KEE,2022-05-25,2,77
KEE,2022-05-26,3,80
KEE,2022-05-27,8,88
KEE,2022-05-28,7,95
KEE,2022-05-29,6,101
KEE,2022-05-30,1,102
KEE,2022-05-31,1,103
KEE,2022-06-01,3,106
KEE,2022-06-02,3,109
KEE,2022-06-03,2,111
KEE,2022-06-04,2,113
NWT,2022-03-10,0,413
NWT,2022-03-11,0,413
NWT,2022-03-12,0,413
NWT,2022-03-13,0,413
NWT,2022-03-14,0,413
NWT,2022-03-15,0,413
NWT,2022-03-16,0,413
NWT,2022-03-17,0,413
NWT,2022-03-18,0,413
NWT,2022-03-19,0,413
NWT,2022-03-20,0,413
NWT,2022-03-21,0,413
NWT,2022-03-22,0,413
NWT,2022-03-23,0,413
NWT,2022-03-24,0,413
NWT,2022-03-25,0,413
NWT,2022-03-26,0,413
NWT,2022-03-27,0,413
NWT,2022-03-28,0,413
NWT,2022-03-29,0,413
NWT,2022-03-30,0,413
NWT,2022-03-31,0,413
NWT,2022-04-01,0,413
NWT,2022-04-02,0,413
NWT,2022-04-03,0,413
NWT,2022-04-04,0,413
NWT,2022-04-05,0,413
NWT,2022-04-06,0,413
NWT,2022-04-07,0,413
NWT,2022-04-08,0,413
NWT,2022-04-09,0,413
NWT,2022-04-10,0,413
NWT,2022-04-11,0,413
NWT,2022-04-12,0,413
NWT,2022-04-13,0,413
NWT,2022-04-14,0,413
NWT,2022-04-15,0,413
NWT,2022-04-16,0,413
NWT,2022-04-17,0,413
NWT,2022-04-18,0,413
NWT,2022-04-19,2,415
NWT,2022-04-20,0,415
NWT,2022-04-21,0,415
NWT,2022-04-22,0,415
NWT,2022-04-23,0,415
NWT,2022-04-24,0,415
NWT,2022-04-25,0,415
NWT,2022-04-26,0,415
NWT,2022-04-27,0,415
NWT,2022-04-28,1,416
NWT,2022-04-29,1,417
NWT,2022-04-30,0,417
NWT,2022-05-01,1,418
NWT,2022-05-02,0,418
NWT,2022-05-03,0,418
NWT,2022-05-04,2,420
NWT,2022-05-05,2,422
NWT,2022-05-06,8,430
NWT,2022-05-07,2,432
NWT,2022-05-08,6,438
NWT,2022-05-09,5,443
NWT,2022-05-10,5,448
NWT,2022-05-11,2,450
NWT,2022-05-12,13,463
NWT,2022-05-13,20,483
NWT,2022-05-14,20,503
NWT,2022-05-15,7,510
NWT,2022-05-16,16,526
NWT,2022-05-17,16,542
NWT,2022-05-18,22,564
NWT,2022-05-19,21,585
NWT,2022-05-20,14,599
NWT,2022-05-21,16,615
NWT,2022-05-22,22,637
NWT,2022-05-23,8,645
NWT,2022-05-24,11,656
NWT,2022-05-25,31,687
NWT,2022-05-26,46,733
NWT,2022-05-27,60,793
NWT,2022-05-28,40,833
NWT,2022-05-29,48,881
NWT,2022-05-30,24,905
NWT,2022-05-31,28,933
NWT,2022-06-01,40,973
NWT,2022-06-02,51,1024
NWT,2022-06-03,29,1053
NWT,2022-06-04,33,1086
TPE,2022-03-10,0,322
TPE,2022-03-11,0,322
TPE,2022-03-12,0,322
TPE,2022-03-13,0,322
TPE,2022-03-14,0,322
TPE,2022-03-15,0,322
TPE,2022-03-16,0,322
TPE,2022-03-17,0,322
TPE,2022-03-18,0,322
TPE,2022-03-19,0,322
TPE,2022-03-20,0,322
TPE,2022-03-21,0,322
TPE,2022-03-22,0,322
TPE,2022-03-23,0,322
TPE,2022-03-24,0,322
TPE,2022-03-25,0,322
TPE,2022-03-26,0,322
TPE,2022-03-27,0,322
TPE,2022-03-28,0,322
TPE,2022-03-29,0,322
TPE,2022-03-30,0,322
TPE,2022-03-31,0,322
TPE,2022-04-01,0,322
TPE,2022-04-02,0,322
TPE,2022-04-03,0,322
TPE,2022-04-04,0,322
TPE,2022-04-05,0,322
TPE,2022-04-06,0,322
TPE,2022-04-07,0,322
TPE,2022-04-08,0,322
TPE,2022-04-09,0,322
TPE,2022-04-10,0,322
TPE,2022-04-11,0,322
TPE,2022-04-12,0,322
TPE,2022-04-13,0,322
TPE,2022-04-14,0,322
TPE,2022-04-15,0,322
TPE,2022-04-16,0,322
TPE,2022-04-17,0,322
TPE,2022-04-18,0,322
TPE,2022-04-19,0,322
TPE,2022-04-20,0,322
TPE,2022-04-21,0,322
TPE,2022-04-22,0,322
TPE,2022-04-23,0,322
TPE,2022-04-24,0,322
TPE,2022-04-25,0,322
TPE,2022-04-26,0,322
TPE,2022-04-27,0,322
TPE,2022-04-28,0,322
TPE,2022-04-29,0,322
TPE,2022-04-30,1,323
TPE,2022-05-01,1,324
TPE,2022-05-02,1,325
TPE,2022-05-03,1,326
TPE,2022-05-04,1,327
TPE,2022-05-05,1,328
TPE,2022-05-06,0,328
TPE,2022-05-07,5,333
TPE,2022-05-08,4,337
TPE,2022-05-09,2,339
TPE,2022-05-10,4,343
TPE,2022-05-11,0,343
TPE,2022-05-12,3,346
TPE,2022-05-13,14,360
TPE,2022-05-14,9,369
TPE,2022-05-15,1,370
TPE,2022-05-16,5,375
TPE,2022-05-17,6,381
TPE,2022-05-18,11,392
TPE,2022-05-19,13,405
TPE,2022-05-20,12,417
TPE,2022-05-21,18,435
TPE,2022-05-22,8,443
TPE,2022-05-23,8,451
TPE,2022-05-24,3,454
TPE,2022-05-25,19,473
TPE,2022-05-26,20,493
TPE,2022-05-27,14,507
TPE,2022-05-28,14,521
TPE,2022-05-29,23,544
TPE,2022-05-30,6,550
TPE,2022-05-31,10,560
TPE,2022-06-01,13,573
TPE,2022-06-02,21,594
TPE,2022-06-03,15,609
TPE,2022-06-04,16,625
TAO,2022-03-10,0,28
TAO,2022-03-11,0,28
TAO,2022-03-12,0,28
TAO,2022-03-13,0,28
TAO,2022-03-14,0,28
TAO,2022-03-15,0,28
TAO,2022-03-16,0,28
TAO,2022-03-17,0,28
TAO,2022-03-18,0,28
TAO,2022-03-19,0,28
TAO,2022-03-20,0,28
TAO,2022-03-21,0,28
TAO,2022-03-22,0,28
TAO,2022-03-23,0,28
TAO,2022-03-24,0,28
TAO,2022-03-25,0,28
TAO,2022-03-26,0,28
TAO,2022-03-27,0,28
TAO,2022-03-28,0,28
TAO,2022-03-29,0,28
TAO,2022-03-30,0,28
TAO,2022-03-31,0,28
TAO,2022-04-01,0,28
TAO,2022-04-02,0,28
TAO,2022-04-03,0,28
TAO,2022-04-04,0,28
TAO,2022-04-05,0,28
TAO,2022-04-06,0,28
TAO,2022-04-07,0,28
TAO,2022-04-08,0,28
TAO,2022-04-09,0,28
TAO,2022-04-10,0,28
TAO,2022-04-11,0,28
TAO,2022-04-12,0,28
TAO,2022-04-13,0,28
TAO,2022-04-14,0,28
TAO,2022-04-15,0,28
TAO,2022-04-16,0,28
TAO,2022-04-17,0,28
TAO,2022-04-18,0,28
TAO,2022-04-19,0,28
TAO,2022-04-20,0,28
TAO,2022-04-21,0,28
TAO,2022-04-22,0,28
TAO,2022-04-23,0,28
TAO,2022-04-24,0,28
TAO,2022-04-25,0,28
TAO,2022-04-26,0,28
TAO,2022-04-27,0,28
TAO,2022-04-28,0,28
TAO,2022-04-29,0,28
TAO,2022-04-30,0,28
TAO,2022-05-01,0,28
TAO,2022-05-02,1,29
TAO,2022-05-03,1,30
TAO,2022-05-04,2,32
TAO,2022-05-05,0,32
TAO,2022-05-06,0,32
TAO,2022-05-07,0,32
TAO,2022-05-08,0,32
TAO,2022-05-09,0,32
TAO,2022-05-10,0,32
TAO,2022-05-11,4,36
TAO,2022-05-12,0,36
TAO,2022-05-13,0,36
TAO,2022-05-14,0,36
TAO,2022-05-15,0,36
TAO,2022-05-16,0,36
TAO,2022-05-17,0,36
TAO,2022-05-18,0,36
TAO,2022-05-19,0,36
TAO,2022-05-20,1,37
TAO,2022-05-21,0,37
TAO,2022-05-22,3,40
TAO,2022-05-23,2,42
TAO,2022-05-24,0,42
TAO,2022-05-25,0,42
TAO,2022-05-26,0,42
TAO,2022-05-27,0,42
TAO,2022-05-28,8,50
TAO,2022-05-29,8,58
TAO,2022-05-30,13,71
TAO,2022-05-31,5,76
TAO,2022-06-01,14,90
TAO,2022-06-02,5,95
TAO,2022-06-03,9,104
TAO,2022-06-04,14,118
HSZ,2022-03-10,0,1
HSZ,2022-03-11,0,1
HSZ,2022-03-12,0,1
HSZ,2022-03-13,0,1
HSZ,2022-03-14,0,1
HSZ,2022-03-15,0,1
HSZ,2022-03-16,0,1
HSZ,2022-03-17,0,1
HSZ,2022-03-18,0,1
HSZ,2022-03-19,0,1
HSZ,2022-03-20,0,1
HSZ,2022-03-21,0,1
HSZ,2022-03-22,0,1
HSZ,2022-03-23,0,1
HSZ,2022-03-24,0,1
HSZ,2022-03-25,0,1
HSZ,2022-03-26,0,1
HSZ,2022-03-27,0,1
HSZ,2022-03-28,0,1
HSZ,2022-03-29,0,1
HSZ,2022-03-30,0,1
HSZ,2022-03-31,0,1
HSZ,2022-04-01,0,1
HSZ,2022-04-02,0,1
HSZ,2022-04-03,0,1
HSZ,2022-04-04,0,1
HSZ,2022-04-05,0,1
HSZ,2022-04-06,0,1
HSZ,2022-04-07,0,1
HSZ,2022-04-08,0,1
HSZ,2022-04-09,0,1
HSZ,2022-04-10,0,1
HSZ,2022-04-11,0,1
HSZ,2022-04-12,0,1
HSZ,2022-04-13,0,1
HSZ,2022-04-14,0,1
HSZ,2022-04-15,0,1
HSZ,2022-04-16,0,1
HSZ,2022-04-17,0,1
HSZ,2022-04-18,0,1
HSZ,2022-04-19,0,1
HSZ,2022-04-20,0,1
HSZ,2022-04-21,0,1
HSZ,2022-04-22,0,1
HSZ,2022-04-23,0,1
HSZ,2022-04-24,0,1
HSZ,2022-04-25,0,1
HSZ,2022-04-26,0,1
HSZ,2022-04-27,0,1
HSZ,2022-04-28,0,1
HSZ,2022-04-29,0,1
HSZ,2022-04-30,0,1
HSZ,2022-05-01,0,1
HSZ,2022-05-02,0,1
HSZ,2022-05-03,0,1
HSZ,2022-05-04,0,1
HSZ,2022-05-05,0,1
HSZ,2022-05-06,0,1
HSZ,2022-05-07,0,1
HSZ,2022-05-08,0,1
HSZ,2022-05-09,0,1
HSZ,2022-05-10,0,1
HSZ,2022-05-11,0,1
HSZ,2022-05-12,0,1
HSZ,2022-05-13,0,1
HSZ,2022-05-14,0,1
HSZ,2022-05-15,0,1
HSZ,2022-05-16,0,1
HSZ,2022-05-17,0,1
HSZ,2022-05-18,0,1
HSZ,2022-05-19,0,1
HSZ,2022-05-20,0,1
HSZ,2022-05-21,0,1
HSZ,2022-05-22,0,1
HSZ,2022-05-23,0,1
HSZ,2022-05-24,0,1
HSZ,2022-05-25,0,1
HSZ,2022-05-26,0,1
HSZ,2022-05-27,0,1
HSZ,2022-05-28,1,2
HSZ,2022-05-29,0,2
HSZ,2022-05-30,1,3
HSZ,2022-05-31,0,3
HSZ,2022-06-01,0,3
HSZ,2022-06-02,3,6
HSZ,2022-06-03,0,6
HSZ,2022-06-04,0,6
HSQ,2022-03-10,0,13
HSQ,2022-03-11,0,13
HSQ,2022-03-12,0,13
HSQ,2022-03-13,0,13
HSQ,2022-03-14,0,13
HSQ,2022-03-15,0,13
HSQ,2022-03-16,0,13
HSQ,2022-03-17,0,13
HSQ,2022-03-18,0,13
HSQ,2022-03-19,0,13
HSQ,2022-03-20,0,13
HSQ,2022-03-21,0,13
HSQ,2022-03-22,0,13
HSQ,2022-03-23,0,13
HSQ,2022-03-24,0,13
HSQ,2022-03-25,0,13
HSQ,2022-03-26,0,13
HSQ,2022-03-27,0,13
HSQ,2022-03-28,0,13
HSQ,2022-03-29,0,13
HSQ,2022-03-30,0,13
HSQ,2022-03-31,0,13
HSQ,2022-04-01,0,13
HSQ,2022-04-02,0,13
HSQ,2022-04-03,0,13
HSQ,2022-04-04,0,13
HSQ,2022-04-05,0,13
HSQ,2022-04-06,0,13
HSQ,2022-04-07,0,13
HSQ,2022-04-08,0,13
HSQ,2022-04-09,0,13
HSQ,2022-04-10,0,13
HSQ,2022-04-11,0,13
HSQ,2022-04-12,0,13
HSQ,2022-04-13,0,13
HSQ,2022-04-14,0,13
HSQ,2022-04-15,0,13
HSQ,2022-04-16,0,13
HSQ,2022-04-17,0,13
HSQ,2022-04-18,0,13
HSQ,2022-04-19,0,13
HSQ,2022-04-20,0,13
HSQ,2022-04-21,0,13
HSQ,2022-04-22,0,13
HSQ,2022-04-23,0,13
HSQ,2022-04-24,0,13
HSQ,2022-04-25,0,13
HSQ,2022-04-26,0,13
HSQ,2022-04-27,0,13
HSQ,2022-04-28,0,13
HSQ,2022-04-29,0,13
HSQ,2022-04-30,0,13
HSQ,2022-05-01,0,13
HSQ,2022-05-02,0,13
HSQ,2022-05-03,0,13
HSQ,2022-05-04,0,13
HSQ,2022-05-05,1,14
HSQ,2022-05-06,0,14
HSQ,2022-05-07,0,14
HSQ,2022-05-08,0,14
HSQ,2022-05-09,0,14
HSQ,2022-05-10,0,14
HSQ,2022-05-11,0,14
HSQ,2022-05-12,0,14
HSQ,2022-05-13,0,14
HSQ,2022-05-14,0,14
HSQ,2022-05-15,0,14
HSQ,2022-05-16,0,14
HSQ,2022-05-17,0,14
HSQ,2022-05-18,0,14
HSQ,2022-05-19,0,14
HSQ,2022-05-20,1,15
HSQ,2022-05-21,0,15
HSQ,2022-05-22,2,17
HSQ,2022-05-23,0,17
HSQ,2022-05-24,0,17
HSQ,2022-05-25,0,17
HSQ,2022-05-26,1,18
HSQ,2022-05-27,0,18
HSQ,2022-05-28,0,18
HSQ,2022-05-29,2,20
HSQ,2022-05-30,0,20
HSQ,2022-05-31,1,21
HSQ,2022-06-01,1,22
HSQ,2022-06-02,0,22
HSQ,2022-06-03,0,22
HSQ,2022-06-04,2,24
MIA,2022-03-10,0,3
MIA,2022-03-11,0,3
MIA,2022-03-12,0,3
MIA,2022-03-13,0,3
MIA,2022-03-14,0,3
MIA,2022-03-15,0,3
MIA,2022-03-16,0,3
MIA,2022-03-17,0,3
MIA,2022-03-18,0,3
MIA,2022-03-19,0,3
MIA,2022-03-20,0,3
MIA,2022-03-21,0,3
MIA,2022-03-22,0,3
MIA,2022-03-23,0,3
MIA,2022-03-24,0,3
MIA,2022-03-25,0,3
MIA,2022-03-26,0,3
MIA,2022-03-27,0,3
MIA,2022-03-28,0,3
MIA,2022-03-29,0,3
MIA,2022-03-30,0,3
MIA,2022-03-31,0,3
MIA,2022-04-01,0,3
MIA,2022-04-02,0,3
MIA,2022-04-03,0,3
MIA,2022-04-04,0,3
MIA,2022-04-05,0,3
MIA,2022-04-06,0,3
MIA,2022-04-07,0,3
MIA,2022-04-08,0,3
MIA,2022-04-09,0,3
MIA,2022-04-10,0,3
MIA,2022-04-11,0,3
MIA,2022-04-12,0,3
MIA,2022-04-13,0,3
MIA,2022-04-14,0,3
MIA,2022-04-15,0,3
MIA,2022-04-16,0,3
MIA,2022-04-17,0,3
MIA,2022-04-18,0,3
MIA,2022-04-19,0,3
MIA,2022-04-20,0,3
MIA,2022-04-21,0,3
MIA,2022-04-22,0,3
MIA,2022-04-23,0,3
MIA,2022-04-24,0,3
MIA,2022-04-25,0,3
MIA,2022-04-26,0,3
MIA,2022-04-27,0,3
MIA,2022-04-28,0,3
MIA,2022-04-29,0,3
MIA,2022-04-30,0,3
MIA,2022-05-01,0,3
MIA,2022-05-02,0,3
MIA,2022-05-03,0,3
MIA,2022-05-04,0,3
MIA,2022-05-05,0,3
MIA,2022-05-06,0,3
MIA,2022-05-07,0,3
MIA,2022-05-08,0,3
MIA,2022-05-09,0,3
MIA,2022-05-10,0,3
MIA,2022-05-11,0,3
MIA,2022-05-12,0,3
MIA,2022-05-13,0,3
MIA,2022-05-14,0,3
MIA,2022-05-15,0,3
MIA,2022-05-16,0,3
MIA,2022-05-17,0,3
MIA,2022-05-18,0,3
MIA,2022-05-19,0,3
MIA,2022-05-20,1,4
MIA,2022-05-21,0,4
MIA,2022-05-22,1,5
MIA,2022-05-23,1,6
MIA,2022-05-24,0,6
MIA,2022-05-25,0,6
MIA,2022-05-26,0,6
MIA,2022-05-27,0,6
MIA,2022-05-28,1,7
MIA,2022-05-29,2,9
MIA,2022-05-30,0,9
MIA,2022-05-31,0,9
MIA,2022-06-01,3,12
MIA,2022-06-02,0,12
MIA,2022-06-03,1,13
MIA,2022-06-04,8,21
TXG,2022-03-10,0,5
TXG,2022-03-11,0,5
TXG,2022-03-12,0,5
TXG,2022-03-13,0,5
TXG,2022-03-14,0,5
TXG,2022-03-15,0,5
TXG,2022-03-16,0,5
TXG,2022-03-17,0,5
TXG,2022-03-18,0,5
TXG,2022-03-19,0,5
TXG,2022-03-20,0,5
TXG,2022-03-21,0,5
TXG,2022-03-22,0,5
TXG,2022-03-23,0,5
TXG,2022-03-24,0,5
TXG,2022-03-25,0,5
TXG,2022-03-26,0,5
TXG,2022-03-27,0,5
TXG,2022-03-28,0,5
TXG,2022-03-29,0,5
TXG,2022-03-30,0,5
TXG,2022-03-31,0,5
TXG,2022-04-01,0,5
TXG,2022-04-02,0,5
TXG,2022-04-03,0,5
TXG,2022-04-04,0,5
TXG,2022-04-05,0,5
TXG,2022-04-06,0,5
TXG,2022-04-07,0,5
TXG,2022-04-08,0,5
TXG,2022-04-09,0,5
TXG,2022-04-10,0,5
TXG,2022-04-11,0,5
TXG,2022-04-12,0,5
TXG,2022-04-13,0,5
TXG,2022-04-14,0,5
TXG,2022-04-15,0,5
TXG,2022-04-16,0,5
TXG,2022-04-17,0,5
TXG,2022-04-18,0,5
